year,co_mean,co_units,no2_mean,no2_units,o3_mean,o3_units,pm10_mean,pm10_units,pm2.5_mean,pm2.5_units,so2_mean,so2_units
2000,597.871222188211,μg/m3,41.15089496659685,μg/m3,38.74986304662953,μg/m3,25.678763608033126,μg/m3,15.658014571948993,μg/m3,8.952742949500495,μg/m3
2001,582.163722316745,μg/m3,27.611767993349357,μg/m3,37.73205202059995,μg/m3,23.49157500845804,μg/m3,15.020091324200914,μg/m3,8.1160216930378,μg/m3
2002,502.73070859028365,μg/m3,38.097510723087375,μg/m3,37.93292942133034,μg/m3,25.706486901916048,μg/m3,14.018264840182647,μg/m3,6.801325337710281,μg/m3
2003,567.9498591540349,μg/m3,50.17684278075838,μg/m3,39.94027697195251,μg/m3,28.753549469040422,μg/m3,14.31917808219178,μg/m3,7.146592641132108,μg/m3
2004,389.4355891132081,μg/m3,44.19875326741374,μg/m3,40.17574792247589,μg/m3,24.267985361974816,μg/m3,13.249316939890711,μg/m3,3.94577634703812,μg/m3
2005,347.3813296249287,μg/m3,47.04657387804964,μg/m3,45.021356788627436,μg/m3,24.026206569553825,μg/m3,13.282420091324205,μg/m3,3.2333856183423246,μg/m3
2006,327.60109752723173,μg/m3,49.98995824520472,μg/m3,43.15726088726929,μg/m3,22.26474591707035,μg/m3,14.413333333333346,μg/m3,2.852252169149992,μg/m3
2007,383.09642248187146,μg/m3,47.75865561010503,μg/m3,42.82242476253258,μg/m3,20.76702725315837,μg/m3,12.487625570776256,μg/m3,2.3058623848588264,μg/m3
2008,376.7589225383049,μg/m3,47.85944027875824,μg/m3,44.08097813048528,μg/m3,21.101993756977574,μg/m3,13.100326265714846,μg/m3,2.090881814108038,μg/m3
2009,371.9676134779647,μg/m3,47.914751435146705,μg/m3,44.00886812569896,μg/m3,19.222127116411027,μg/m3,13.315674032574758,μg/m3,2.239381202478284,μg/m3
2010,401.5254546570647,μg/m3,48.233155181673006,μg/m3,39.74503451908011,μg/m3,19.88900911268497,μg/m3,14.072993877976526,μg/m3,1.9622224870320335,μg/m3
2011,313.9880087973465,μg/m3,45.62518207300243,μg/m3,45.53815936547282,μg/m3,21.684006016340838,μg/m3,14.835845434065096,μg/m3,1.6923815045895532,μg/m3
2012,388.04814790381994,μg/m3,46.05567355773727,μg/m3,43.35208458215183,μg/m3,18.29063095491703,μg/m3,13.517318570127635,μg/m3,2.810437440607348,μg/m3
2013,251.38408374296478,μg/m3,46.533121798267466,μg/m3,43.22735597023839,μg/m3,17.782061269407173,μg/m3,12.841646684729488,μg/m3,2.8124543417833,μg/m3
2014,260.0609197600247,μg/m3,44.28942933826368,μg/m3,43.94676760232323,μg/m3,16.694770894292606,μg/m3,12.967773988670833,μg/m3,2.708514244789852,μg/m3
2015,248.0209589616893,μg/m3,44.79004792084582,μg/m3,44.41339004757136,μg/m3,14.894139074155564,μg/m3,10.300474277251563,μg/m3,2.4798317968416357,μg/m3
2016,214.97577300570052,μg/m3,37.008555051263386,μg/m3,38.739330775312965,μg/m3,15.297995718837678,μg/m3,11.492774493859816,μg/m3,2.3652829364196277,μg/m3
2017,178.01784644388172,μg/m3,34.87697180499548,μg/m3,44.73708513539364,μg/m3,15.371915603504204,μg/m3,9.721919082636989,μg/m3,1.9643496914044856,μg/m3
