year,co_mean,co_units,no2_mean,no2_units,o3_mean,o3_units,so2_mean,so2_units,pm10_mean,pm10_units,pm2.5_mean,pm2.5_units
2000,636.5057520975062,μg/m3,32.80381192162619,μg/m3,47.851359879920345,μg/m3,9.524790290557679,μg/m3,26.2155787714103,μg/m3,13.250363047908635,μg/m3
2001,580.4161730875257,μg/m3,33.120265061933466,μg/m3,49.838831732560784,μg/m3,8.177695292233153,μg/m3,26.14956539167847,μg/m3,,μg/m3
2002,571.2717042078752,μg/m3,30.83203448385652,μg/m3,52.651299720149694,μg/m3,7.153066318325146,μg/m3,25.69870495560183,μg/m3,12.382175242763868,μg/m3
2003,561.9888725381711,μg/m3,29.851855351494123,μg/m3,50.11468002170318,μg/m3,7.472863793376071,μg/m3,26.102881132323123,μg/m3,12.230867870399663,μg/m3
2004,511.26793097194496,μg/m3,28.177712445187186,μg/m3,48.885193855527284,μg/m3,7.4451321030841635,μg/m3,24.91629863110701,μg/m3,11.920113075340153,μg/m3
2005,476.18132653162013,μg/m3,28.24492721211254,μg/m3,50.53682516484931,μg/m3,7.6008141386593095,μg/m3,25.788178411350174,μg/m3,12.733350695275764,μg/m3
2006,473.5655622202345,μg/m3,27.342847697045965,μg/m3,50.92045178586835,μg/m3,6.802585024728448,μg/m3,26.77044636570933,μg/m3,11.635643770505741,μg/m3
2007,427.6499699457286,μg/m3,24.998220638123918,μg/m3,51.78706392933121,μg/m3,6.135431531810134,μg/m3,26.15790340635785,μg/m3,12.08809113444104,μg/m3
2008,376.8754331303531,μg/m3,23.031927661366467,μg/m3,51.22531546000456,μg/m3,4.964608626278435,μg/m3,27.799202328044487,μg/m3,11.04212713755051,μg/m3
2009,369.2982011981503,μg/m3,21.580585519125567,μg/m3,49.58938612840099,μg/m3,4.059451849088142,μg/m3,22.14851198061126,μg/m3,10.086584423911903,μg/m3
2010,373.63611639497196,μg/m3,21.39264561971766,μg/m3,52.40455319456398,μg/m3,3.3844600207364164,μg/m3,21.890396734463568,μg/m3,10.036399896768579,μg/m3
2011,355.08551657555046,μg/m3,21.08091551956144,μg/m3,52.54754355820724,μg/m3,3.1908669695297145,μg/m3,22.850875646523647,μg/m3,9.798931123007108,μg/m3
2012,342.9534652565205,μg/m3,19.899671635061146,μg/m3,53.58194394758526,μg/m3,2.5020518495974544,μg/m3,24.88794969575289,μg/m3,9.172175930050221,μg/m3
2013,316.60243489730783,μg/m3,19.702874065123712,μg/m3,52.14550782815364,μg/m3,2.230409851301442,μg/m3,29.559153947624107,μg/m3,9.00697054617251,μg/m3
2014,314.73455421186554,μg/m3,18.855162527321312,μg/m3,51.65075162588873,μg/m3,2.2605497461279307,μg/m3,25.19031701139326,μg/m3,8.656047833433199,μg/m3
2015,321.2871972748142,μg/m3,17.782574362739005,μg/m3,52.026412581850124,μg/m3,1.9427148488804606,μg/m3,24.48332682367815,μg/m3,8.424128580795163,μg/m3
2016,328.7062949980504,μg/m3,18.967914628848618,μg/m3,51.90432364077411,μg/m3,1.7631345929760807,μg/m3,25.03699778999789,μg/m3,7.659949565024354,μg/m3
2017,333.00036183079044,μg/m3,23.844856401179563,μg/m3,92.97276978292176,μg/m3,7.875342776544595,μg/m3,22.24073343320845,μg/m3,4.641965846939973,μg/m3
